id,track_name,popularity,artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3NU5UrPgTujSKmmywryCeq,"Bewitched, Bothered, And Bewildered - Stereo Version",0,Ella Fitzgerald,0.458,0.108,5.0,-16.835,0.037,0.971,0.0,0.101,0.264,71.872
3NU5UrPgTujSKmmywryCeq,"Bewitched, Bothered, And Bewildered - Stereo Version",0,Ella Fitzgerald,0.458,0.108,5.0,-16.835,0.037,0.971,0.0,0.101,0.264,71.872
3NU5UrPgTujSKmmywryCeq,"Bewitched, Bothered, And Bewildered - Stereo Version",0,Ella Fitzgerald,0.458,0.108,5.0,-16.835,0.037,0.971,0.0,0.101,0.264,71.872
3NU5UrPgTujSKmmywryCeq,"Bewitched, Bothered, And Bewildered - Stereo Version",0,Ella Fitzgerald,0.458,0.108,5.0,-16.835,0.037,0.971,0.0,0.101,0.264,71.872
35KCinwJYfCgun1jjii784,Undecided - Single Version,0,Ella Fitzgerald,0.608,0.325,4.0,-9.106,0.352,0.848,0.0,0.207,0.968,206.768
35KCinwJYfCgun1jjii784,Undecided - Single Version,0,Ella Fitzgerald,0.608,0.325,4.0,-9.106,0.352,0.848,0.0,0.207,0.968,206.768
35KCinwJYfCgun1jjii784,Undecided - Single Version,0,Ella Fitzgerald,0.608,0.325,4.0,-9.106,0.352,0.848,0.0,0.207,0.968,206.768
35KCinwJYfCgun1jjii784,Undecided - Single Version,0,Ella Fitzgerald,0.608,0.325,4.0,-9.106,0.352,0.848,0.0,0.207,0.968,206.768
3Uv42tH7DnsJwgZj7IEEJR,I'll Never Fall in Love Again,0,Ella Fitzgerald,0.56,0.395,10.0,-9.699,0.0329,0.807,9.99e-06,0.135,0.665,120.426
3Uv42tH7DnsJwgZj7IEEJR,I'll Never Fall in Love Again,0,Ella Fitzgerald,0.56,0.395,10.0,-9.699,0.0329,0.807,9.99e-06,0.135,0.665,120.426
7wufLVXc1VCV2aGb6bcjjO,Miss Otis Regrets (She's Unable To Lunch Today),0,Ella Fitzgerald,0.373,0.0555,10.0,-14.52,0.0437,0.983,0.0,0.1,0.179,80.638
7wufLVXc1VCV2aGb6bcjjO,Miss Otis Regrets (She's Unable To Lunch Today),0,Ella Fitzgerald,0.373,0.0555,10.0,-14.52,0.0437,0.983,0.0,0.1,0.179,80.638
7ijfZa2PpaLKYKXbBiALkr,Out Of This World,23,Ella Fitzgerald,0.379,0.241,1.0,-11.501,0.0299,0.835,0.0,0.0834,0.356,130.84
6dGGWJgnZEIjBT4hAA0X9L,A Night In Tunisia,23,Ella Fitzgerald,0.497,0.213,3.0,-12.569,0.045,0.894,0.0,0.129,0.383,135.703
3RSWA0ljXaIGPvdgGLmhYW,A Foggy Day,22,Ella Fitzgerald,0.298,0.218,10.0,-14.109,0.0354,0.954,3.96e-06,0.0655,0.192,99.497
1DabAsXHKvegFKaePSCBwY,April In Paris,22,Ella Fitzgerald,0.442,0.322,8.0,-9.747,0.0347,0.787,4.14e-06,0.0473,0.46,129.283
3BdnZ7p49ywZq692exPqm5,Moonlight On The Ganges,21,Ella Fitzgerald,0.553,0.252,10.0,-10.964,0.0356,0.16,0.0,0.0562,0.548,84.302
5UuAZPvqXJCQ3oWuq85FPd,Manhattan - Stereo Version,21,Ella Fitzgerald,0.436,0.284,10.0,-11.311,0.0329,0.865,0.0,0.0755,0.409,58.28
7y4UaKbgSZeK9YGQRz8bVk,East Of The Sun (West Of The Moon),20,Ella Fitzgerald,0.274,0.215,9.0,-11.296,0.0354,0.875,1.7e-05,0.201,0.221,85.916
2wqTKnbUdCeegYqXMqLIk0,The Boy From Ipanema,21,Ella Fitzgerald,0.574,0.436,1.0,-12.329,0.0485,0.643,0.0,0.919,0.652,80.272
0nmo5UASX6a2gmMl4dvQU2,On A Slow Boat To China - Live At The Crescendo,20,Ella Fitzgerald,0.622,0.39,3.0,-9.316,0.0821,0.816,0.0,0.815,0.629,133.996
5lBG3GBx6BOGsSXp1VO3CU,Moonlight In Vermont,20,Ella Fitzgerald,0.428,0.0916,0.0,-15.364,0.0386,0.977,0.000235,0.0855,0.111,100.7
7CYbdgBXK47QJVkIiPyqLc,Autumn In New York,20,Ella Fitzgerald,0.428,0.0768,0.0,-15.366,0.0345,0.958,0.0,0.143,0.14,135.047
6empnIdTNl00UQzud8J3yb,Let's Take A Walk Around The Block,19,Ella Fitzgerald,0.617,0.196,8.0,-12.194,0.11,0.823,0.0,0.141,0.458,124.177
5891r0hYtVyKerssalE1I8,I Love Paris,19,Ella Fitzgerald,0.21,0.239,7.0,-11.047,0.0293,0.78,0.000199,0.35,0.198,96.215
3aBX1hPxqbQpitrqCrGbCm,Hurry Home,18,Ella Fitzgerald,0.23,0.137,4.0,-13.643,0.038,0.968,0.0,0.146,0.0799,71.345
66UrWXThbdDm3PzVIcH8m7,Trav'lin Light,18,Ella Fitzgerald,0.34,0.134,10.0,-15.706,0.033,0.974,0.0674,0.099,0.15,76.733
5IiyaY4pxxgjnpdLjT9vGs,My Cousin In Milwaukee,17,Ella Fitzgerald,0.529,0.43,8.0,-9.736,0.0467,0.774,0.0,0.298,0.585,127.443
1KKKr8JkplNstZfxmWdEZT,Georgia On My Mind,18,Ella Fitzgerald,0.351,0.404,7.0,-8.725,0.0351,0.827,0.0,0.123,0.257,76.062
2rj70eDZs3hrXFzEasPXnD,St. Louis Blues - Live From Rome/1958,17,Ella Fitzgerald,0.367,0.106,0.0,-15.422,0.0421,0.94,0.0,0.142,0.294,172.818
3GZvcao3bGarCg497drReM,Beale Street Blues,16,Ella Fitzgerald,0.523,0.246,10.0,-8.072,0.0434,0.913,0.0,0.312,0.461,92.219
7nFUHuc6WVwazAiTr1vnmr,Stars Fell On Alabama,16,Ella Fitzgerald,0.329,0.139,5.0,-11.934,0.0407,0.949,0.0,0.117,0.183,169.608
5sugxSgBEILArAc8hnnb6J,"Take The ""A"" Train",17,Ella Fitzgerald,0.415,0.39,2.0,-10.623,0.0545,0.384,1.28e-06,0.0759,0.413,94.214
5mS8aGR4HYD2lOHLLPCyqV,Lullaby Of Broadway,16,Ella Fitzgerald,0.356,0.548,3.0,-8.457,0.421,0.799,0.0,0.269,0.79,184.079
4Tx1SRQ64YydsUE89EWekG,Slumming On Park Avenue,15,Ella Fitzgerald,0.608,0.18,7.0,-14.178,0.0571,0.936,0.0,0.102,0.482,125.981
6LUZwusJmrjUTxdT2FQBhg,I've Got The World On A String,16,Ella Fitzgerald,0.404,0.157,8.0,-11.651,0.0314,0.913,1.07e-06,0.177,0.207,71.667
5pdx6JHhrUdM9b4gndkxBf,Sentimental Journey,15,Ella Fitzgerald,0.668,0.117,8.0,-12.047,0.0329,0.9,0.0,0.0906,0.593,88.96
56NVfs6m8pWDYKYD6GWAIK,I Like The Sunrise,16,Ella Fitzgerald,0.157,0.273,3.0,-13.367,0.0341,0.826,0.0,0.218,0.131,177.477
4R2RMjbAvVuyuwoScXve4s,Midnight Sun - 1964 Version,15,Ella Fitzgerald,0.408,0.184,8.0,-14.77,0.0361,0.957,5.8e-05,0.133,0.16,105.617
1uAdFBygbkuiyZNK7QOifW,Over The Rainbow,15,Ella Fitzgerald,0.259,0.197,8.0,-14.263,0.0339,0.939,0.0,0.2,0.251,80.745
0NSU5US3BAKLzwXEd78jqp,Ev'ry Time We Say Goodbye,15,Ella Fitzgerald,0.197,0.267,10.0,-8.294,0.0312,0.874,0.000113,0.168,0.171,82.705
5fW8JTrs02llzL7uvNsdNX,Flying Home,14,Ella Fitzgerald,0.774,0.53,0.0,-4.208,0.0595,0.752,0.0,0.412,0.703,108.248
6RYmivcqkSZNTPf7KP94fH,Mas que nada,0,Ella Fitzgerald,0.553,0.499,3.0,-9.969,0.0742,0.66,0.0,0.264,0.79,99.408
2nn75KYQCbQoHScQz0KkWc,Mazurka No. 15 In C Op. 24 No. 2,0,Frédéric Chopin,0.41,0.056,0.0,-21.592,0.0484,0.995,0.907,0.0728,0.211,112.233
1IDi8NkQrYUk7OZBZppCJr,Mazurka No. 40 In F Minor Op. 63 No. 2,0,Frédéric Chopin,0.272,0.0501,5.0,-22.491,0.0376,0.996,0.934,0.0967,0.0686,77.653
45KVDUfjuPA13YluqVMqA1,"Mazurka No. 34 in C Major, Op. 56 No. 2: Vivace (I)",0,Frédéric Chopin,0.21,0.0221,0.0,-28.673,0.0322,0.995,0.946,0.104,0.26,167.899
2jCqYRViP6DxuY7GD5DZab,"12 Études, Op. 25: No. 2 in F Minor ""The Bees""",0,Frédéric Chopin,0.268,0.109,5.0,-25.436,0.0375,0.992,0.924,0.0813,0.24,69.922
4812J6cgLVKif1hYmaJVZE,"12 Études, Op. 25: No. 3 in F Major ""The Horseman""",0,Frédéric Chopin,0.307,0.165,0.0,-18.936,0.0332,0.988,0.912,0.0829,0.55,131.978
5oeMtbF8kTUyddtnLku4az,"12 Études, Op. 25: No. 9 in G-Flat Major ""Butterfly Wings""",0,Frédéric Chopin,0.45,0.415,6.0,-18.081,0.0576,0.981,0.878,0.18,0.232,112.871
5MjCThf5ig8YBsZKvM84cs,"24 Préludes, Op. 28: No. 9 in E Major",0,Frédéric Chopin,0.336,0.0327,4.0,-20.34,0.0407,0.993,0.844,0.128,0.033,84.552
1PkRcUsGUrxx34Fo1gZmFq,"Piano Sonata No. 2 In B Flat Minor, Op. 35: 4. Finale (Presto) - 1984 Recording",0,Frédéric Chopin,0.164,0.0155,10.0,-36.372,0.036,0.99,0.971,0.106,0.381,109.63
58TPD9LXmXOifQS4QZxuWF,"24 Préludes, Op. 28: 12. In G Sharp Minor",0,Frédéric Chopin,0.513,0.313,8.0,-19.859,0.0344,0.994,0.819,0.11,0.721,131.393
7LVaaGwAbLIm9OujH8nirn,"24 Préludes, Op. 28: 19. In E Flat Major",0,Frédéric Chopin,0.326,0.102,3.0,-29.17,0.0292,0.981,0.823,0.134,0.678,72.361
4WUNx2eKOpbvqhoi61hBMG,Mazurka No. 8 In A Flat Op. 7 No. 4,0,Frédéric Chopin,0.292,0.138,8.0,-25.012,0.0526,0.995,0.865,0.171,0.334,85.004
7eFVD8V9qAepQ20IXRf172,Mazurka No. 9 in C Op. 7 No. 5,0,Frédéric Chopin,0.464,0.133,7.0,-24.756,0.0511,0.995,0.803,0.133,0.672,122.125
3Gut4SHUmygKSoMcrdooEs,Mazurka No. 44 in G Op. 67 No. 1,0,Frédéric Chopin,0.378,0.0609,7.0,-25.28,0.0354,0.994,0.934,0.152,0.54,163.336
1wMEndPQs3w5E3gnk7wp91,"12 Etudes, Op. 10: No. 5 in G-Flat Major ""Black Keys""",0,Frédéric Chopin,0.357,0.103,1.0,-24.481,0.0377,0.976,0.926,0.107,0.479,128.002
0ZFoLiCLU7oJ4ywHsu1aYy,"Feuille D'Album In E, Op. posth.: Moderato",0,Frédéric Chopin,0.398,0.00325,11.0,-37.982,0.0433,0.996,0.949,0.0804,0.263,73.161
5fkvyqRkkmeZwuRA6KQdCI,Mazurka in B flat major (KK 891-895),0,Frédéric Chopin,0.319,0.114,10.0,-24.85,0.0348,0.987,0.933,0.171,0.42,78.987
3Pmc1onTlkb2gQapm7T6yv,Mazurka in D major (KK 1224),0,Frédéric Chopin,0.402,0.111,2.0,-21.311,0.0383,0.976,0.864,0.374,0.228,76.326
0erJxNOGLhWXhMaeepYHlk,"24 Préludes, Op. 28: 4. in E minor",0,Frédéric Chopin,0.303,0.0311,5.0,-28.322,0.0448,0.994,0.934,0.0879,0.0363,68.208
1xf2s0dV6V3DEkaEpdq7qN,"24 Préludes, Op. 28: 5. In D Major",0,Frédéric Chopin,0.197,0.236,2.0,-26.271,0.0415,0.991,0.839,0.0885,0.195,138.013
